,Consumer_ID,C_City,C_State,C_Country,Smoker,Drink_Level,Transportation_Method,Marital_Status,Age,Occupation,Budget,Preferred_Cuisine,Restaurant_ID,Overall_Rating,Food_Rating,Service_Rating,Name,R_City,R_State,R_Country,Latitude,Longitude,Alcohol_Service,Smoking_Allowed,Price,Franchise,Area,Parking,Cuisine,Cuisine_Match,Alcohol_Num,Smoking_Num
0,U1001,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,On Foot,Single,23,Student,Medium,American,132830,1,1,1,Rincon Huasteco,San Luis Potosi,San Luis Potosi,Mexico,22.1508494,-100.9397522,no alcohol,No,Low,No,Closed,not available,,American,,0.0
1,U1001,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,On Foot,Single,23,Student,Medium,American,132825,2,2,1,Puesto De Tacos,San Luis Potosi,San Luis Potosi,Mexico,22.1473922,-100.983092,no alcohol,No,Low,No,Open,not available,Mexican,American,,0.0
2,U1001,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,On Foot,Single,23,Student,Medium,American,135085,0,1,1,Tortas Locas Hipocampo,San Luis Potosi,San Luis Potosi,Mexico,22.150802,-100.98268,no alcohol,No,Medium,No,Closed,Public,Fast Food,American,,0.0
3,U1001,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,On Foot,Single,23,Student,Medium,American,135040,1,1,1,Restaurant Los Compadres,San Luis Potosi,San Luis Potosi,Mexico,22.135617,-100.969709,Wine & Beer,No,High,No,Closed,Yes,,American,,0.0
4,U1001,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,On Foot,Single,23,Student,Medium,American,135039,1,1,1,Restaurant De Mariscos De Picon,San Luis Potosi,San Luis Potosi,Mexico,22.145893,-100.97487,no alcohol,Smoking Section,Low,No,Closed,Yes,Seafood,American,,
5,U1001,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,On Foot,Single,23,Student,Medium,American,135045,1,1,1,Restaurante La Gran Via,San Luis Potosi,San Luis Potosi,Mexico,22.151189,-100.98179,Wine & Beer,No,High,No,Closed,Yes,,American,,0.0
6,U1001,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,On Foot,Single,23,Student,Medium,American,135033,1,1,1,Restaurant El Muladar De Calzada,San Luis Potosi,San Luis Potosi,Mexico,22.14161,-100.973142,no alcohol,Smoking Section,Medium,No,Closed,not available,,American,,
7,U1001,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,On Foot,Single,23,Student,Medium,American,135025,2,2,2,El Rincon De San Francisco,San Luis Potosi,San Luis Potosi,Mexico,22.14955,-100.97797,no alcohol,No,Medium,No,Closed,not available,Mexican,American,,0.0
8,U1001,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,On Foot,Single,23,Student,Medium,American,135051,1,1,2,Restaurante Versalles,San Luis Potosi,San Luis Potosi,Mexico,22.151189,-100.977058,no alcohol,Smoking Section,Low,No,Closed,not available,,American,,
9,U1002,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,Public,Single,22,Student,Low,Mexican,132921,2,1,1,Crudalia,San Luis Potosi,San Luis Potosi,Mexico,22.150305,-100.9891337,Wine & Beer,Smoking Section,Low,No,Open,not available,Bar,Mexican,,
10,U1002,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,Public,Single,22,Student,Low,Mexican,135062,1,2,1,Restaurante El Cielo Potosino,San Luis Potosi,San Luis Potosi,Mexico,22.153703,-100.979033,no alcohol,No,Medium,No,Closed,Yes,,Mexican,,0.0
11,U1002,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,Public,Single,22,Student,Low,Mexican,135106,1,1,1,El Rincón De San Francisco,San Luis Potosi,San Luis Potosi,Mexico,22.1497088,-100.9760928,Wine & Beer,Bar Only,Medium,No,Open,not available,Mexican,Mexican,,
12,U1002,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,Public,Single,22,Student,Low,Mexican,132825,2,2,0,Puesto De Tacos,San Luis Potosi,San Luis Potosi,Mexico,22.1473922,-100.983092,no alcohol,No,Low,No,Open,not available,Mexican,Mexican,,0.0
13,U1002,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,Public,Single,22,Student,Low,Mexican,135052,1,1,1,La Cantina Restaurante,San Luis Potosi,San Luis Potosi,Mexico,22.150981,-100.977412,Full Bar,No,High,No,Closed,not available,Bar,Mexican,,0.0
14,U1002,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,Public,Single,22,Student,Low,Mexican,135052,1,1,1,La Cantina Restaurante,San Luis Potosi,San Luis Potosi,Mexico,22.150981,-100.977412,Full Bar,No,High,No,Closed,not available,Brewery,Mexican,,0.0
15,U1002,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,Public,Single,22,Student,Low,Mexican,132862,2,2,2,La Posada Del Virrey,San Luis Potosi,San Luis Potosi,Mexico,22.1506429,-100.9870148,Wine & Beer,No,High,No,Closed,Valet,International,Mexican,,0.0
16,U1002,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,Public,Single,22,Student,Low,Mexican,135059,1,2,1,Restaurant Bar Hacienda Los Martinez,San Luis Potosi,San Luis Potosi,Mexico,22.145108,-100.989547,Wine & Beer,Smoking Section,Medium,No,Closed,Yes,Bar,Mexican,,
17,U1002,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,Public,Single,22,Student,Low,Mexican,135041,2,1,0,Luna Cafe,San Luis Potosi,San Luis Potosi,Mexico,22.15106,-100.977659,Wine & Beer,No,Medium,No,Closed,not available,Bar,Mexican,,0.0
18,U1002,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,Public,Single,22,Student,Low,Mexican,135041,2,1,0,Luna Cafe,San Luis Potosi,San Luis Potosi,Mexico,22.15106,-100.977659,Wine & Beer,No,Medium,No,Closed,not available,Cafeteria,Mexican,,0.0
19,U1002,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,Public,Single,22,Student,Low,Mexican,132925,1,1,2,El Pueblito,San Luis Potosi,San Luis Potosi,Mexico,22.1534997,-100.976243,Wine & Beer,No,Medium,No,Closed,not available,Mexican,Mexican,,0.0
20,U1002,San Luis Potosi,San Luis Potosi,Mexico,No,Abstemious,Public,Single,22,Student,Low,Mexican,135085,1,1,1,Tortas Locas Hipocampo,San Luis Potosi,San Luis Potosi,Mexico,22.150802,-100.98268,no alcohol,No,Medium,No,Closed,Public,Fast Food,Mexican,,0.0
21,U1003,San Luis Potosi,San Luis Potosi,Mexico,No,Social Drinker,Public,Single,23,Student,Low,Mexican,135064,0,0,0,Restaurante El Chivero S.A. De C.V.,San Luis Potosi,San Luis Potosi,Mexico,22.154687,-100.996617,no alcohol,No,High,No,Closed,Yes,,Mexican,,0.0
